dia,Baiona A,Vigo A,Redondela E,Redondela D,Redondela C,Redondela B,Redondela A (Ostra),Redondela A,Cangas E,Cangas D,Cangas C,Cangas H,Cangas G,Cangas F,Portonovo C,Portonovo B,Portonovo A,Bueu A1,Bueu A2,Bueu B,Cangas B,Cangas A,Grove C4,Grove C3,Grove C2,Grove C1,Grove B (Ostra),Grove A (Ostra),Grove A,Cambados D (Ostra),Cambados D,Cambados C (Sur),Cambados C (Norte),Cambados B,Cambados A1,"Cambados A2, E",Vilagarcía A,A Pobra D,A Pobra C,A Pobra B,A Pobra A,A Pobra G,A Pobra H,Ribeira C,Ribeira B,Muros C,Noia A,Muros A,Muros B,Sada 2,Sada 1,Camariñas A,A Pobra E.2,A Pobra E.1,Vilagarcía B2,Vilagarcía B1
2024-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
