fecha,UI,abierto/cerrado,ao
2014-01-16,-5191.9,1.0,94.8
2014-01-17,57.20875000000004,1.0,94.8
2014-01-18,1022.2500000000001,1.0,94.8
2014-01-19,1037.3174999999999,1.0,94.8
2014-01-20,-2332.9075000000003,1.0,94.8
2014-01-21,425.77250000000004,1.0,94.8
2014-01-22,603.475,0.0,94.8
2014-01-23,199.66650000000004,0.0,94.8
2014-01-24,-200.2485,0.0,94.8
2014-01-25,-547.80575,0.0,94.8
2014-01-26,198.27,0.0,94.8
2014-01-27,-1053.57175,0.0,94.8
2014-01-28,154.52000000000004,0.0,94.8
2014-01-29,1104.3625,0.0,94.8
2014-01-30,-521.726175,0.0,0.0
2014-01-31,-2097.3337500000002,0.0,0.0
2014-02-01,-770.745,0.0,0.0
2014-02-02,-6647.5425,0.0,0.0
2014-02-03,-7228.75,0.0,0.0
2014-02-04,-5316.425,0.0,0.0
2014-02-05,-13488.1,0.0,0.0
2014-02-06,-4496.95,0.0,0.0
2014-02-07,-8143.975,0.0,0.0
2014-02-08,-4660.05,0.0,0.0
2014-02-09,1134.875,0.0,0.0
2014-02-10,-746.3425,0.0,0.0
2014-02-11,-2370.78075,0.0,0.0
2014-02-12,-4194.6,0.0,0.0
2014-02-13,-10776.475,0.0,0.0
2014-02-14,-1668.945,0.0,0.0
2014-02-15,-409.71425,0.0,0.0
2014-02-16,-6214.1449999999995,0.0,0.0
2014-02-17,-3360.3,0.0,0.0
2014-02-18,-1193.5974999999999,0.0,0.0
2014-02-19,-1826.6699999999998,0.0,0.0
2014-02-20,-681.5975,0.0,0.0
2014-02-21,-1799.825,0.0,0.0
2014-02-22,-5167.3,0.0,0.0
2014-02-23,-561.0725000000001,0.0,0.0
2014-02-24,-4052.15,0.0,0.0
2014-02-25,-709.097,0.0,0.0
2014-02-26,-1519.1074999999998,0.0,0.0
2014-02-27,-581.9275,0.0,0.0
2014-02-28,-1146.795,0.0,0.0
2014-03-01,-225.66749999999996,0.0,0.0
2014-03-02,-677.915,0.0,0.0
2014-03-03,-674.865,0.0,0.0
2014-03-04,-333.28855,0.0,0.0
2014-03-05,1531.2625,0.0,0.0
2014-03-06,602.7625,0.0,0.0
2014-03-07,-159.1825,0.0,0.0
2014-03-08,-428.4675,0.0,0.0
2014-03-09,4.045249999999999,0.0,0.0
2014-03-10,2138.2925,0.0,0.0
2014-03-11,891.14,0.0,0.0
2014-03-12,155.962,0.0,0.0
2014-03-13,96.68375,0.0,0.0
2014-03-14,415.361,0.0,0.0
2014-03-15,1843.4475,0.0,0.0
2014-03-16,964.87525,0.0,0.0
2014-03-17,734.0425,0.0,0.0
2014-03-18,5647.7625,0.0,0.0
2014-03-19,39.384750000000004,0.0,0.0
2014-03-20,-1892.9724999999999,0.0,0.0
2014-03-21,-66.38325000000002,0.0,0.0
2014-03-22,95.9719,0.0,0.0
2014-03-23,-3101.6725,0.0,0.0
2014-03-24,-26.260250000000013,0.0,0.0
2014-03-25,557.51,0.0,0.0
2014-03-26,-63.00425000000007,0.0,0.0
2014-03-27,1462.43,0.0,0.0
2014-03-28,-42.66700000000001,0.0,0.0
2014-03-29,-2405.8525,0.0,0.0
2014-03-30,-1559.8500000000001,0.0,0.0
2014-03-31,-3471.45,0.0,0.0
2014-04-01,-2218.4375,0.0,82.5
2014-04-02,-464.8195,0.0,82.5
2014-04-03,-375.365,0.0,100.1
2014-04-04,-1577.0725,0.0,100.1
2014-04-05,-1988.9499999999998,1.0,100.1
2014-04-06,-3765.6375000000003,1.0,100.1
2014-04-07,3427.6499999999996,1.0,200.1
2014-04-08,3470.0425,1.0,200.1
2014-04-09,32.84225000000001,1.0,200.1
2014-04-10,1869.5985,1.0,200.1
2014-04-11,8521.8,1.0,200.1
2014-04-12,7375.424999999999,1.0,200.1
