ds,yhat
2017-01-01,36.83686854452225
2017-01-02,31.293223001717934
2017-01-03,25.219121512720335
2017-01-04,33.57422200390175
2017-01-05,11.057013092775378
2017-01-06,5.850752408558549
2017-01-07,3.4459460583606756
2017-01-08,2.255949401147177
2017-01-09,4.663193066487793
2017-01-10,6.665135415187365
2017-01-11,23.00193735571287
2017-01-12,8.154930223697022
2017-01-13,10.099340626703395
2017-01-14,14.133250984757751
2017-01-15,18.49917632927253
2017-01-16,25.435578034262164
2017-01-17,30.827254261169287
2017-01-18,49.33646829952613
2017-01-19,35.40378146827345
2017-01-20,37.00198419262807
2017-01-21,39.46506948123675
2017-01-22,41.108631588471155
2017-01-23,44.279049307884804
2017-01-24,45.000467718513335
2017-01-25,58.10154653745593
2017-01-26,38.211078300022905
2017-01-27,33.50603191165254
2017-01-28,29.534148113992785
2017-01-29,24.827666769281393
2017-01-30,21.945751312942036
2017-01-31,17.114832605505114
2017-02-01,25.349044914427452
2017-02-02,1.4400517783880673
2017-02-03,-6.300004113237492
2017-02-04,-12.220143250922263
2017-02-05,-17.720072816574884
2017-02-06,-20.209924978786717
2017-02-07,-23.470919813039018
2017-02-08,-12.534747367808109
2017-02-09,-32.69237453144086
2017-02-10,-35.74858203679639
2017-02-11,-36.20002216451684
2017-02-12,-35.62019308453557
2017-02-13,-31.6137998205578
2017-02-14,-28.171373374357586
2017-02-15,-10.542124681492737
2017-02-16,-24.23593618601103
2017-02-17,-21.271002568075858
2017-02-18,-16.34512025555955
2017-02-19,-11.214227327497895
2017-02-20,-3.6408598907815417
2017-02-21,2.2564228975988954
2017-02-22,21.13450873388541
2017-02-23,7.427060133206226
2017-02-24,9.099084557352114
2017-02-25,11.476675564193215
2017-02-26,12.868286881112226
2017-02-27,15.614872980184487
2017-02-28,15.73787973747909
2017-03-01,28.067020198899
2017-03-02,7.2369018054148455
2017-03-03,1.436024183813629
2017-03-04,-3.769763865011498
2017-03-05,-9.822804609166724
2017-03-06,-14.130637689226546
2017-03-07,-20.425281020387843
2017-03-08,-13.642639847657279
2017-03-09,-38.932767024291934
2017-03-10,-47.91725492138602
2017-03-11,-54.87148278544686
2017-03-12,-61.115008699152725
2017-03-13,-63.97243226385757
2017-03-14,-67.13542266095249
2017-03-15,-55.543683915756105
2017-03-16,-74.39553322127824
2017-03-17,-75.40436138823037
2017-03-18,-72.97872406307448
2017-03-19,-68.60941308741178
2017-03-20,-59.82592792792758
2017-03-21,-50.55316644090584
2017-03-22,-25.986258513350663
2017-03-23,-31.59439279543284
2017-03-24,-19.370097451748165
2017-03-25,-4.001927322097799
2017-03-26,12.745883466833163
2017-03-27,33.08417402972253
2017-03-28,52.848991929090346
2017-03-29,86.63299647736775
2017-03-30,88.78710655106917
2017-03-31,107.17578124538392
2017-04-01,127.00785715282097
2017-04-02,146.45928977522482
2017-04-03,167.7251091667006
2017-04-04,186.66954138067504
2017-04-05,217.95619027721256
2017-04-06,216.0472998666269
2017-04-07,228.95556242319705
2017-04-08,242.07050374006212
2017-04-09,253.77592796929645
2017-04-10,266.49589029235597
2017-04-11,276.33832557013204
2017-04-12,298.218417227413
2017-04-13,286.8509237215855
2017-04-14,290.4951266302451
2017-04-15,294.7746263185379
2017-04-16,298.2886523267178
2017-04-17,303.65252617719756
2017-04-18,307.1365541144084
2017-04-19,323.78555908341514
2017-04-20,308.40836657362604
2017-04-21,309.3209752603879
2017-04-22,312.1656732437749
2017-04-23,315.52276910074914
2017-04-24,321.95254504560114
2017-04-25,327.6366480819853
2017-04-26,347.5010377837599
2017-04-27,336.20968866012015
2017-04-28,341.9126391645223
2017-04-29,350.0704914589871
2017-04-30,359.07186193704234
2017-05-01,371.2812122744024
2017-05-02,382.6860982993674
2017-05-03,408.025779355302
2017-05-04,401.79021916994884
2017-05-05,411.9729170214921
2017-05-06,423.8995383637481
2017-05-07,435.8487318589724
2017-05-08,450.10247572216855
2017-05-09,462.59493060109685
2017-05-10,488.04171170375537
2017-05-11,480.9386108446722
2017-05-12,489.3132364890856
2017-05-13,498.55159855055535
